Date,Open,High,Low,Close,Volume
2025-04-01,659.3642150299472,670.4757021921232,654.6442981842529,660.6425170898438,9594669
2025-04-02,663.6908207895912,664.0841121718137,651.0551422978718,660.6917114257812,8025225
2025-04-03,648.9902641484287,657.8401313868163,641.6153747831056,643.0411987304688,13473832
2025-04-04,639.1570347084581,639.1570347084581,599.8242941110145,603.6100463867188,26621179
2025-04-07,551.1500367316361,572.2913851522073,526.8129030846994,570.0789184570312,49463598
2025-04-08,581.3379341939119,596.4810037346821,574.4547043980161,579.027099609375,20987855
2025-04-09,578.1912920667703,584.9762138886394,571.3572163221049,573.1763916015625,17483412
2025-04-11,599.8242806995662,602.5775604764269,581.1412293335142,585.1236572265625,21055814
2025-04-15,603.7575768396013,617.8190198016838,602.4301208321774,611.82080078125,19722072
2025-04-16,614.5740894288654,614.5740894288654,603.3642340308825,605.7733764648438,12318376
2025-04-17,605.7733885303073,616.5407387949595,598.103515744871,611.181640625,14342652
2025-04-21,614.1806972145747,625.1447222486203,609.854131922541,619.539794921875,12785568
2025-04-22,619.7365099334878,623.3748005354662,615.754081849255,620.3264770507812,10292748
2025-04-23,625.3414753135872,650.4652535257305,622.7848109448557,648.8919677734375,23390570
2025-04-24,649.0885497110868,659.8067458941105,649.0885497110868,657.200927734375,15172229
2025-04-25,657.2009688239773,661.7734243661472,640.6320742563818,644.3195190429688,13207043
2025-04-28,643.3853351474548,658.4300974240604,641.6645276317678,657.0043334960938,10243493
2025-04-29,660.2492143327491,671.508223084486,650.5634911635004,654.4967651367188,13754685
2025-04-30,655.8734250703337,655.8734250703337,630.4054524738474,633.5029296875,19485917
2025-05-02,630.3072378802756,650.3177478685802,624.9481393769563,638.2720947265625,11488717
2025-05-05,651.8910131718832,655.5293036341764,644.9094157946184,650.5143432617188,8868484
2025-05-06,650.5143633669469,652.1368629528583,634.7321129189917,637.3870849609375,12718175
2025-05-07,631.2905105716966,671.1149119395373,630.4547138090487,668.9515991210938,30390515
2025-05-08,688.3229824879105,692.7479159467613,665.903331633133,671.4590454101562,29315465
2025-05-09,656.3651516307974,699.1395098269617,654.8901737619641,696.6812133789062,40183276
2025-05-12,715.8559065613387,719.7891807732142,699.336166874862,708.7760009765625,20133616
2025-05-13,708.7760420690721,713.889310844361,691.5188124673512,695.8945922851562,16125700
2025-05-14,678.489814128108,696.1895484097109,674.5565398433074,687.29052734375,31505402
2025-05-15,687.0938477381951,717.6258771977942,684.5372434743423,715.9542236328125,28634074
2025-05-16,717.8225292811292,729.622351680271,713.4467498047139,718.5108642578125,20631512
2025-05-19,719.7891679205577,725.7873869797622,715.8558937789153,717.3308715820312,10460217
2025-05-20,717.8225265140819,725.4432451174848,705.0393856309544,706.90771484375,14472506
2025-05-21,707.0060307068649,717.3308753833908,706.0227121662434,714.6759033203125,8998596
2025-05-22,712.9059152589249,712.9059152589249,698.7953187361167,705.4818725585938,10046820
2025-05-23,706.7602139667813,709.7593235669965,703.0727693721719,706.2685546875,7915166
2025-05-26,709.9560034481095,725.6891004774305,709.169360600044,716.8392333984375,13017400
2025-05-27,716.8392321488677,717.1833696389833,703.2694479881332,704.4985961914062,12223125
2025-05-28,707.9893628208639,709.9559999398107,704.2527642982652,705.9735717773438,7568961
2025-05-29,712.4142662271832,716.5442160058132,707.9893328965796,712.3651123046875,8838921
2025-05-30,712.3651193794668,716.3967013361452,700.614450970319,707.4976806640625,14533919
2025-06-02,705.0393751392718,707.006012168949,695.599541403621,699.7294311523438,9712446
2025-06-03,703.0727909192241,706.3668841845616,690.584632839356,692.1087646484375,9161608
2025-06-04,696.0262285599629,709.5639532364046,692.6542369255598,703.3157958984375,11287991
2025-06-05,706.9357180436717,708.5721675581514,698.2081285434812,704.3075561523438,10203331
2025-06-06,704.1588007716355,710.0102854419589,695.4312108405061,705.1505737304688,11975812
2025-06-09,709.1176402063359,720.0271423633565,707.2332474387352,711.8945922851562,9900412
2025-06-10,715.0683229497856,728.7052015081206,709.4647813653348,726.2257690429688,19151889
2025-06-11,728.9035309067402,737.8790638646193,724.1430329238943,730.3416137695312,12626754
2025-06-12,730.936692117109,731.6309453152759,705.3985376774679,709.4647827148438,12585149
2025-06-13,694.2410429695907,709.0680602081871,692.5550169014901,706.19189453125,10516625
2025-06-16,705.1505624763001,708.1258813053141,667.4136141015769,681.0009155273438,31246328
2025-06-17,680.4553901637183,680.5050272371491,666.4714159179325,669.1987915039062,17112867
2025-06-18,666.3226523985395,673.7609497485255,662.5043506387542,664.73583984375,12556088
2025-06-19,664.7357985224281,670.7360125718276,661.165440229583,666.7689208984375,10895470
2025-06-20,667.8599496152863,673.2154873928483,664.5870503515874,670.6369018554688,11393470
2025-06-23,664.4878838963571,670.4385216625931,660.6199451350966,665.7276000976562,10265601
2025-06-24,672.4220370927751,680.8521068793364,666.4713995963788,668.1078491210938,15359947
2025-06-25,670.4385261507367,673.4138450537725,667.9095171897599,668.9508666992188,10456015
2025-06-26,671.4303010251225,678.0751920340426,668.9012920569638,677.1329956054688,10104914
2025-06-27,679.3644475780977,685.7613949940128,677.3809017457529,681.2488403320312,7198028
2025-06-30,683.2324025740436,686.2077213940211,679.3644638948663,682.3397827148438,6960104
2025-07-01,685.4142466777455,688.1416222311387,674.8023247691367,678.17431640625,6866073
2025-07-02,678.1743323848484,686.7531926317655,675.0502839062556,682.88525390625,8034013
2025-07-03,688.1416611438542,691.2161937158914,682.8356998895108,684.7200927734375,9668110
2025-07-04,685.3151339819361,687.1498897945845,680.7033653794143,683.3811645507812,4942900
2025-07-07,683.3811669976727,686.2573328833315,677.7280488452168,683.1828002929688,5428220
2025-07-08,687.2986425841362,691.2161577761757,681.8438914525161,687.4970092773438,7615926
2025-07-09,683.2819791557234,689.7780798064636,682.8356692260966,687.1002807617188,5478813
2025-07-10,686.3068997982751,691.0178214370638,679.3644889621654,689.8772583007812,7733963
2025-07-11,687.2490886790489,692.6542634486437,671.4798743114267,676.1907958984375,8280654
2025-07-14,675.3973909891297,675.3973909891297,666.4714342800223,668.9508666992188,7748550
2025-07-15,670.4384924566649,680.3066450957292,668.7524663897419,678.7694091796875,7041706
2025-07-16,678.7694163857486,678.7694163857486,670.7855958860033,673.413818359375,6244205
2025-07-17,673.413814770615,681.2488450761449,672.570831999204,676.0916137695312,6598144
2025-07-18,677.5793068282134,680.3562590442392,672.4220752652976,674.653564453125,5558670
2025-07-21,674.9014775665951,682.8356609913309,665.7275779817442,681.7943115234375,6731863
2025-07-22,682.339785077222,683.1827678659276,666.8185142993955,667.8599243164062,7749518
2025-07-23,671.1327642040955,687.3978041875201,670.6864542720984,684.4224853515625,14460727
2025-07-24,687.001121717902,700.6875760652268,686.6043883321181,694.7369384765625,15197664
2025-07-25,695.2328389018219,696.670921787894,679.066951901293,681.7447509765625,7271718
2025-07-28,685.0176165344545,694.7369797331828,675.7941398308963,677.2817993164062,7788718
2025-07-29,676.290012587127,688.2904413132428,675.0006592994628,686.6539916992188,6239871
2025-07-30,684.3233169449826,684.3233169449826,659.7769370980429,662.9506225585938,18923129
2025-07-31,654.4213402448943,667.8599118029384,646.9830433085667,660.47119140625,18723710
2025-08-01,662.4547400855488,662.4547400855488,641.6770851147209,643.5118408203125,12546169
2025-08-04,644.701996441307,651.3964638787324,640.6853280854551,648.2227783203125,8033881
2025-08-05,650.5534683553224,653.4792106180864,645.1978702969401,649.2145385742188,6714804
2025-08-06,649.6112789158562,652.5865977505854,645.0491475824783,647.4789428710938,6410830
2025-08-07,644.652418710424,646.3384448351931,630.2717109084222,641.1812133789062,13609913
2025-08-08,642.6192753341694,647.5781399319591,624.8169393215013,628.4865112304688,10144452
2025-08-11,630.9659784366706,649.611298249283,621.9408080495795,648.37158203125,17275390
2025-08-12,645.7433699929218,655.5123702705439,645.4458502023335,648.7186889648438,11212223
2025-08-13,651.7932058154078,661.5125687823682,651.2477427903317,658.289306640625,7557556
2025-08-14,660.5207694948372,661.0662324981772,652.289066305934,659.1322631835938,6250494
2025-08-18,671.4303105822681,679.3644944591636,667.364065558567,670.4385375976562,14226172
2025-08-19,671.1823491645005,697.563485627726,667.5623536554672,694.489013671875,19440384
2025-08-20,694.4889804145823,695.0344434086264,683.3315351740767,683.9265747070312,10050137
2025-08-21,688.2904539558599,689.2326504014522,679.3644970601787,679.76123046875,8432614
2025-08-22,680.2570898334027,685.8109941337884,673.0170988803418,674.703125,6429718
2025-08-25,678.1247627755924,683.2324177431605,674.703133950048,681.149658203125,6429311
2025-08-26,681.1496475775307,681.2984377327185,672.719577531935,676.0420532226562,7496633
2025-08-28,674.3064682406402,675.2982412131765,662.30597895314,669.89306640625,9466045
2025-08-29,669.8930412896188,675.5461591277243,662.5043208146487,663.49609375,8201917
2025-09-01,665.7771510176399,685.8109761662654,665.0333213254855,684.4721069335938,7644947
2025-09-02,684.4721034572405,688.9350815874993,676.0420336556405,678.7694091796875,7854694
2025-09-03,682.3397770455068,687.7449516301594,679.3644582502502,686.3564453125,6094892
2025-09-04,700.092580401063,700.5388298217708,680.0587538235784,681.8439331054688,13439418
2025-09-05,685.215932152391,691.6128190367444,677.4800549780769,686.0093383789062,6692975
2025-09-08,689.282190509767,716.0600597813694,688.3399941139778,713.5806274414062,20531027
2025-09-09,715.2171120058265,716.3080380756,707.630024460977,709.6631469726562,9409853
2025-09-10,711.745881461517,714.076523679765,696.9188637590629,703.2661743164062,10363493
2025-09-11,704.3571563373908,706.1423355284718,698.7536149953416,700.0429077148438,5530633
2025-09-12,702.1752467177124,712.9855960569404,701.5305700887337,709.3656005859375,8252416
2025-09-15,709.415191948069,716.0105063988879,705.6960433178368,707.0349731445312,6007524
2025-09-16,709.1176827982606,713.7790279246572,699.1999529689143,707.382080078125,9765743
2025-09-17,709.1176386715479,717.0022455018415,708.4233855200915,713.2335205078125,11872451
2025-09-18,716.060073800016,719.2833359050715,701.7785190290248,705.3489379882812,12199357
2025-09-19,707.6299747706404,707.6299747706404,699.1503284549743,701.6297607421875,12127319
2025-09-22,703.1670166453938,706.142335474641,689.1334052875718,690.5219116210938,9688597
2025-09-23,696.0262660027691,701.9769038891417,691.265767800275,695.5799560546875,11904667
2025-09-24,694.7369633260893,697.5139155268563,675.6949102546592,677.3313598632812,13252215
