Date,Open,High,Low,Close,Volume
2025-04-01,1463.3404602190724,1471.0885586286036,1442.9957978349414,1451.21923828125,12680733
2025-04-02,1459.4903266843542,1478.931888061539,1459.4903266843542,1473.703125,6193478
2025-04-03,1458.9673514518697,1458.9673514518697,1411.8134441365378,1422.69873046875,10459504
2025-04-04,1388.4740776445042,1399.4069443976105,1376.5905268259103,1380.060546875,9590254
2025-04-07,1285.3249277060586,1336.5668248830998,1242.5441423903983,1327.8680419921875,21715252
2025-04-08,1360.4289830692378,1384.671428260199,1345.218037067066,1358.3375244140625,12805001
2025-04-09,1335.758736096975,1339.9416532809853,1313.7503760547593,1334.4752197265625,8546854
2025-04-11,1341.652928180614,1367.844321400648,1328.1532604606723,1339.941650390625,12567440
2025-04-15,1374.3089224037624,1376.3053358191778,1339.513907284088,1355.675537109375,10178530
2025-04-16,1354.724784610381,1357.10149475882,1327.915540556106,1343.41162109375,12022740
2025-04-17,1329.0563853909828,1359.2881865002564,1310.327954849587,1349.49609375,14264227
2025-04-21,1340.4645789137878,1399.2169026224717,1340.4645789137878,1379.442626953125,15648970
2025-04-22,1368.985143422317,1368.985143422317,1349.3060284057444,1352.6334228515625,9399738
2025-04-23,1374.6891479419496,1414.4277879886072,1368.6047467603623,1402.1639404296875,11136642
2025-04-24,1397.4106437086987,1409.7695375562273,1389.4248737048488,1398.836669921875,7114292
2025-04-25,1402.7344676201928,1427.6423460063365,1391.3262577852609,1407.20263671875,8329979
2025-04-28,1407.2024661808139,1416.1389193452367,1393.0373668593481,1409.0087890625,5886253
2025-04-29,1408.9138107783806,1435.3428747016321,1401.4033833138335,1423.6494140625,8056743
2025-04-30,1422.9840278751349,1434.3922372400868,1409.4842438297574,1426.1212158203125,7704183
2025-05-02,1425.740942139582,1448.082019175758,1422.4135476873855,1432.5859375,7402310
2025-05-05,1440.2864278864722,1447.8919007730015,1428.6881281546378,1434.2020263671875,4282493
2025-05-06,1431.7302219442606,1440.856765886036,1425.170478593818,1436.958984375,4270530
2025-05-07,1426.0260242923393,1443.8989302169214,1422.7936754272177,1433.916748046875,5691799
2025-05-08,1433.631664427957,1441.7124795125974,1427.1669659401214,1436.864013671875,8424409
2025-05-09,1426.6915991963783,1436.8639888159648,1420.4171072727893,1433.2513427734375,4478653
2025-05-12,1461.2013305506293,1551.5163119444549,1456.4479104772702,1546.6678466796875,11372857
2025-05-13,1529.6507024801845,1532.6928451513845,1487.4403056280353,1491.2430419921875,12846210
2025-05-14,1496.3766534474935,1516.3410179471107,1492.0985753404327,1513.8692626953125,4870057
2025-05-15,1511.3976659657826,1538.7772990924948,1493.524758023796,1533.4534912109375,11151167
2025-05-16,1533.0731584594146,1533.0731584594146,1503.5069061207216,1511.49267578125,4576751
2025-05-19,1498.7534529196623,1506.8342676039738,1478.9791776249906,1482.8770751953125,8855798
2025-05-20,1492.573904126385,1505.4081383338412,1481.1656959419795,1483.637451171875,7143998
2025-05-21,1490.5776840160047,1493.5247816353951,1475.5568282070587,1491.1480712890625,4157309
2025-05-22,1478.789066286349,1483.8277382618005,1464.0534632471729,1471.18359375,6158990
2025-05-23,1473.5603223754533,1508.9257236923431,1473.5603223754533,1487.6304931640625,5038421
2025-05-26,1489.3416207391451,1505.693456152503,1485.6339297061554,1502.55615234375,3170102
2025-05-27,1501.985817890451,1504.8378701621398,1479.6447417622219,1492.6690673828125,7775714
2025-05-28,1503.0315254066693,1509.4010623010483,1492.5740005619675,1494.2852783203125,3623370
2025-05-29,1510.6370121874,1529.555648703017,1498.8485063145804,1507.4046630859375,8609500
2025-05-30,1514.5387348868949,1515.5027951891782,1499.2101525439637,1506.5369873046875,13148092
2025-06-02,1503.9340358386107,1503.9340358386107,1483.6887699715526,1497.9569091796875,4374509
2025-06-03,1502.9700087561519,1510.9717563250315,1480.410974183671,1487.5450439453125,6853403
2025-06-04,1487.545069852834,1501.3311794658816,1486.0025968815146,1495.4503173828125,4548307
2025-06-05,1492.2689554139665,1511.3572786610305,1486.195328477135,1498.43896484375,6948539
2025-06-06,1498.8244913615613,1512.5142181403369,1487.641415492617,1507.5975341796875,3960020
2025-06-09,1521.2871674371763,1530.9277705261318,1514.5387452749073,1516.3704833984375,2903202
2025-06-10,1527.0715350387688,1549.726952383094,1520.8051430073597,1538.6402587890625,8591925
2025-06-11,1532.9521677606,1575.8528485433976,1532.9521677606,1572.4786376953125,10597410
