Date,Open,High,Low,Close,Volume
2025-04-01,3388.577667798288,3399.2953585160476,3343.3359762190476,3367.806396484375,2618493
2025-04-02,3361.3567956889556,3380.4210168658315,3348.1257677061367,3361.309326171875,1764313
2025-04-03,3311.088041352429,3321.521146037298,3221.1261324235493,3227.765380859375,4537821
2025-04-04,3189.305420015634,3224.445829064787,3125.663387385046,3129.3623046875,5317367
2025-04-07,2940.238860434007,3121.7748058386424,2898.5539074179674,3105.319091796875,6623955
2025-04-08,3131.8757443343147,3176.406084910182,3087.5350502556194,3123.24462890625,5557558
2025-04-09,3092.5147195117684,3101.4776590955953,3046.5142098890965,3079.28369140625,2990265
2025-04-11,3120.0198074686773,3128.935276473692,3040.775593704065,3064.96142578125,7108961
2025-04-15,3143.5893021337306,3143.5893021337306,3071.69590901875,3080.801025390625,3512160
2025-04-16,3080.801013758816,3109.1602290119804,3062.5905495252055,3105.081787109375,2384391
2025-04-17,3078.2405325476193,3133.346394679939,3052.157767289551,3128.888427734375,2932346
2025-04-21,3120.5418377878595,3181.148601343861,3114.851053170071,3150.41845703125,2432946
2025-04-22,3151.3667016777117,3162.0841600479707,3125.1890016354123,3143.589111328125,2710498
2025-04-23,3191.5816342442954,3244.6006837766467,3165.3092254984945,3237.10791015625,3543923
2025-04-24,3225.8214222352462,3236.633820616935,3213.1118640484187,3226.295654296875,2252175
2025-04-25,3243.747204561521,3298.568475558524,3229.5202431380058,3270.30419921875,2742991
2025-04-28,3257.9739444135007,3279.5989706182713,3229.5200235015927,3266.035888671875,1593296
2025-04-29,3276.9436254865236,3314.8821913387555,3253.6113148639492,3293.541748046875,1578332
2025-04-30,3293.06738873724,3329.014085869881,3192.53019311335,3275.71044921875,2809332
2025-05-02,3293.0674491310842,3311.562499608635,3243.7473145242825,3254.180419921875,1721761
2025-05-05,3272.2013429677813,3323.892639545098,3268.786779377753,3276.27978515625,1284443
2025-05-06,3281.68603515625,3294.0160693923863,3259.871359200009,3281.68603515625,1324763
2025-05-07,3244.316583265945,3281.2117462953,3244.316583265945,3267.553955078125,1477128
2025-05-08,3270.304189784248,3297.809648457028,3251.9987864937443,3271.15771484375,2543591
2025-05-09,3223.8296054868374,3268.5970664946117,3222.976080385976,3263.001220703125,2531757
2025-05-12,3324.3666713915923,3443.3989159735165,3321.7109255991563,3433.8193359375,2228678
2025-05-13,3433.8195935429753,3436.285693012091,3329.5834737286627,3333.8515625,3062887
2025-05-14,3339.542044274439,3377.4806076856794,3327.7811822404,3365.814453125,2119499
2025-05-15,3380.326007773164,3414.4707149223877,3332.9977424314357,3395.406494140625,3548330
2025-05-16,3408.6846800710387,3408.6846800710387,3363.3482860767563,3377.764892578125,1666727
2025-05-19,3367.0478467189873,3367.0478467189873,3323.133908772587,3337.455810546875,2537377
2025-05-20,3349.785756293493,3374.6354708973113,3313.9337648440714,3318.01220703125,2038374
2025-05-21,3327.212019490534,3354.7174780325026,3318.0119641520128,3344.0947265625,1440153
2025-05-22,3314.8821689714327,3317.5379148748953,3273.4343323692665,3297.809814453125,2034383
2025-05-23,3297.8098235860703,3352.820743852965,3286.9974249846496,3333.47216796875,1274331
2025-05-26,3339.54242872468,3362.3055693919314,3329.2042616284266,3355.00244140625,967470
2025-05-27,3349.9752588067204,3357.5629717372003,3303.5954561426133,3318.391357421875,2467680
2025-05-28,3338.5939127547476,3347.1300903725864,3312.985379901231,3317.443115234375,1222933
2025-05-29,3324.0822341714443,3350.4495836467595,3306.820233088302,3317.822509765625,3188072
2025-05-30,3310.1398835450454,3325.979188538535,3275.141649033021,3284.91064453125,3404365
2025-06-02,3272.201121116267,3281.6857620470387,3242.41944121709,3272.011474609375,1877585
2025-06-03,3268.4070961095445,3294.4898573234195,3225.2519821011338,3229.709716796875,2848125
2025-06-04,3242.9152450223373,3248.465279476926,3224.7342507303856,3235.164306640625,2544807
2025-06-05,3262.0528233362247,3262.0528233362247,3218.7054627680072,3225.78662109375,3584683
2025-06-06,3225.787088056256,3244.733411943636,3213.9214562860475,3238.322265625,2070390
2025-06-09,3253.440835404879,3285.975243758928,3244.7330032516393,3274.396728515625,1718678
2025-06-10,3291.7166070762078,3335.54241560308,3275.640735062478,3313.62939453125,2419874
2025-06-11,3320.423693236899,3338.604687522634,3300.424692969312,3322.24169921875,2847013
2025-06-12,3322.2416207116808,3324.9209717927824,3275.640909498604,3286.166748046875,4060134
2025-06-13,3246.933943792306,3301.76403815699,3246.933943792306,3297.1708984375,2178493
2025-06-16,3291.716884024651,3357.7426005937496,3278.5116939874692,3345.590087890625,1934088
2025-06-17,3358.6994089523137,3368.2683531373627,3337.743514633776,3363.77099609375,2111940
2025-06-18,3367.4071820205213,3385.4923927635227,3294.683207501011,3302.625244140625,2696327
2025-06-19,3301.2855030665887,3302.242397415304,3265.8804121641356,3276.40625,2672768
2025-06-20,3277.3635707817734,3297.745469784743,3263.8712652626323,3287.602294921875,2351248
2025-06-23,3267.7945867055305,3277.3635313225304,3224.73433592903,3247.317138671875,3123421
2025-06-24,3286.549310178985,3293.726017546798,3236.2165757260095,3244.25439453125,3403048
2025-06-25,3260.4262751214173,3301.2856185170967,3253.440899408153,3296.309814453125,1757699
2025-06-26,3296.3098921986184,3302.625255099875,3268.081507258558,3293.439208984375,2879106
2025-06-27,3306.0702704397795,3316.978773543857,3283.1048040170426,3292.76953125,1778433
2025-06-30,3291.6210940950255,3315.5434551196317,3282.1479325760038,3312.7685546875,1468351
2025-07-01,3306.0700701470973,3334.776901436363,3266.35895353028,3281.860595703125,2375183
2025-07-02,3336.882278295821,3339.4658465866687,3272.5790179988544,3275.73681640625,3090585
2025-07-03,3282.147812903343,3287.2193999790024,3251.144527592608,3254.20654296875,2531870
2025-07-04,3261.096050751665,3279.2770439923584,3243.967734776887,3272.387451171875,1109320
2025-07-07,3270.952315509477,3278.416138875185,3261.4789203702617,3264.63671875,1639174
2025-07-08,3258.225552697699,3277.3634414066432,3247.1254837997894,3259.373779296875,2325242
